poiid,name,feature,sightlevel,distance,com_count,com_score,heat_score
13415904,成都国际非物质文化遗产博览园,3,4,2,3,4.2,0.0
28197432,三星堆考古遗址公园,13,1,2,2,4.5,5.2
24652046,彭州白鹿上书院,3,1,2,2,4.7,0.0
76445,望江楼公园,3,1,1,4,4.5,5.5
24849932,兰桂坊成都,9,1,1,3,4.6,5.3
10532681,灵岩寺,8,1,4,2,4.1,0.0
76452,望丛祠,8,4,3,3,4.3,0.0
13789663,怀远古镇,15,1,3,2,4.3,0.0
28352048,万达城开心动物城,3,1,5,2,4.4,0.0
58279778,西岭雪山滑雪场,3,1,1,2,3.6,5.2
24652844,蜀道园,28,1,2,2,3.6,0.0
24654490,张松银杏,3,1,5,2,4.7,0.0
13703455,都江堰城隍庙,8,1,5,2,4.6,0.0
31772344,水果侠主题乐园,4,1,5,3,4.5,0.0
10520922,四川大学,3,1,1,3,4.6,5.4
101666,卧龙大熊猫自然保护区,20,1,2,2,4.4,0.0
49936711,联华梨园社·春熙剧场川剧变脸秀,3,1,1,3,4.9,5.2
10520940,凤栖山,20,1,3,2,4.5,0.0
10558963,花水湾温泉度假区,14,4,1,3,4.6,5.5
44978672,彭州· 湔江河谷旅游小火车,3,1,3,3,4.2,0.0
57153337,黄龙溪欢乐田园,3,1,1,4,4.9,7.1
61755156,山居水月温泉会馆,14,1,3,2,4.8,0.0
110647468,成都融创天府之星氦气球,35,1,5,0,0.0,0.0
87395,桃坪羌寨,3,4,1,0,0.0,5.9
34119346,海窝子古镇,15,1,3,2,4.1,0.0
56382165,川西红枫岭,39,1,2,2,3.6,0.0
24652927,四川美术馆,34,1,2,2,4.4,5.0
130859517,街子悠游岛,4,1,3,2,3.9,0.0
41795172,都江堰文庙,8,1,5,2,4.8,0.0
13484854,九龙峡漂流,0,1,3,2,4.0,0.0
93851431,卧龙熊猫坪,29,1,2,1,4.0,0.0
35196769,王婆岩,30,1,3,1,3.4,0.0
76380,昭觉寺,8,1,2,3,4.4,0.0
13754204,百丈桥,3,1,3,2,4.6,0.0
101059,中铁花水湾四季温泉谷,14,1,1,4,4.8,5.5
57154199,梵高星空艺术馆（成都春熙路旗舰店）,24,1,1,3,4.6,5.0
31672296,成都IFS雕塑庭院雕塑庭院,3,1,1,2,4.6,5.1
10520942,鸡冠山,20,1,2,2,4.2,0.0
20908700,紫坪铺水库,20,1,4,2,4.5,0.0
20911452,飞泉沟,20,1,3,2,4.5,0.0
30804137,中国川菜文化体验馆,34,1,3,1,3.1,0.0
18137336,朝阳洞,20,1,3,2,4.6,0.0
38463751,龙池滑雪场,3,1,3,0,0.0,0.0
58308802,都江堰市步行街,9,1,5,1,4.8,0.0
56381205,都江堰极速熊猫滑翔伞俱乐部,35,1,4,2,4.9,0.0
30813324,三和老爷车博物馆,7,1,1,3,4.6,5.2
13641020,玉垒关,3,1,5,2,4.5,0.0
10530541,水井坊博物馆,25,1,1,3,4.5,5.1
87600,泰安寺,8,1,3,2,3.9,0.0
20911444,五洞天,3,1,3,2,4.7,0.0
20911440,天然图画坊,8,1,3,2,4.6,0.0
13753534,日月坪,0,1,1,3,4.6,0.0
13822378,井巷子,9,1,2,3,4.5,0.0
38553990,李冰纪念馆,3,1,5,0,0.0,0.0
100105842,梅花剧社川剧变脸演出,46,1,1,2,4.6,0.0
24033215,五行仙谷汤池,47,1,3,1,4.0,0.0
76448,成都永陵,8,1,2,3,4.2,0.0
56808392,蟠龙谷景区,30,1,3,2,4.4,0.0
15151607,全真观,8,1,3,2,4.5,0.0
55448154,卡拉卡拉漫温泉,47,1,2,2,3.1,0.0
13826315,龙兴寺,8,1,3,2,4.7,0.0
69556129,葛仙山,20,1,2,1,3.3,0.0
57239202,柳凤休闲岛,14,1,3,1,3.5,0.0
13250663,国色天乡摩天轮,18,1,2,3,4.6,0.0
51700214,小鱼洞国际露营公园,32,1,3,1,2.5,0.0
13758237,温江公园,28,1,2,3,4.6,0.0
10759320,太子岭滑雪场,3,1,1,3,4.4,5.2
125707666,赵公山滑翔伞飞行营地,35,1,3,1,5.0,0.0
56809993,鸳鸯楼,3,1,1,2,3.2,0.0
90392,南湖梦幻岛,4,1,1,4,4.5,5.7
13103138,《放水大典·道解都江堰》,49,1,5,2,4.2,0.0
130874347,成都独角兽星空艺术馆,34,1,1,3,5.0,0.0
61910464,成都筋斗云滑翔伞营地,35,1,3,1,5.0,0.0
76451,九龙沟,30,1,3,2,4.1,0.0
124906976,袁隆平杂交水稻科技馆,34,1,2,1,5.0,0.0
44994994,沐青汤泉,47,1,2,2,4.3,0.0
71567405,SPEED PANDA（339赛道）,44,1,1,1,4.6,0.0
10559365,琴台故径,9,1,2,3,4.3,0.0
10520943,罨画池,37,1,2,3,4.5,0.0
13706520,水晶溶洞,20,1,3,2,4.1,0.0
13765512,郫县古城遗址,8,1,3,0,0.0,0.0
50078155,战旗村,3,4,3,2,4.4,0.0
56810138,宣化门,3,1,5,1,4.7,0.0
96353,川西竹海景区,30,1,1,4,4.4,6.6
36694373,新都尖锋旱雪四季滑雪场,3,1,2,3,4.8,0.0
30100054,山景豪宜温泉,14,1,3,2,3.5,0.0
18137288,祖师殿,3,1,3,2,4.6,0.0
52525386,多彩山地滑水,10,1,2,2,4.7,0.0
20911436,天然阁,8,1,3,2,4.6,0.0
33141701,都江堰VR全景旅游体验,44,1,5,2,4.9,0.0
13759407,白云万佛洞,20,1,3,2,4.4,0.0
24649050,成都大熊猫生态园旅游博物馆,25,1,1,3,4.7,0.0
82946,洛带古镇,15,4,1,4,4.3,6.3
15139161,华希昆虫博物馆,25,1,3,2,4.3,0.0
77287192,“李冰治水”荧光皮影剧,49,1,5,1,4.0,0.0
81011,黄龙溪,13,4,1,4,4.4,6.7
106711390,动速卡丁车俱乐部,44,1,5,1,1.0,0.0
112647056,小鱼洞镇,15,1,3,0,0.0,0.0
52135532,汶川大地震博物馆,25,1,2,0,0.0,0.0
39229307,古城古镇,15,1,3,1,5.0,0.0
123573217,鹿野花塔,3,1,3,1,4.5,0.0
134029426,都江堰途悦·霞客行房车露营地,32,1,3,0,0.0,0.0
79876545,宝山卡丁车俱乐部,44,1,3,2,4.1,0.0
13811412,成都乌木艺术博物馆,25,1,4,2,4.4,0.0
90498472,道明竹艺村,3,4,2,1,4.0,0.0
113962390,都江堰安飞通航直升机基地,35,1,5,0,0.0,0.0
133966948,自由地·花谷露营地,32,1,3,0,0.0,0.0
56816158,虹口花谷,3,1,3,1,2.6,0.0
13822459,易园园林艺术博物馆,25,1,2,2,4.5,0.0
76454,九峰山风景名胜区,20,1,2,2,4.4,0.0
